sentenceIndex,PERSON,CREDIT_CARD,STREET_ADDRESS,US_SSN
657,0,1,0,0
659,1,0,0,0
660,1,0,0,0
663,1,0,0,0
664,1,0,0,0
666,1,0,0,0
667,2,0,0,0
669,1,0,0,0
672,0,1,0,0
675,1,0,0,0
678,0,1,0,0
679,1,0,0,0
681,1,0,0,0
686,1,0,0,0
691,1,0,0,0
694,1,0,0,0
697,0,1,0,0
709,0,1,0,0
711,1,0,0,0
714,0,0,0,1
721,1,0,0,0
722,1,0,0,0
724,0,1,0,0
725,1,0,0,0
727,1,0,0,0
729,1,0,0,0
733,0,1,0,0
734,0,1,0,0
739,1,0,0,0
741,1,0,0,0
745,1,0,0,0
752,0,1,0,0
753,1,0,0,0
756,1,0,0,0
762,0,1,0,0
764,1,0,0,0
767,1,0,0,0
769,1,0,0,0
772,1,0,0,0
781,1,0,0,0
783,0,1,0,0
784,2,0,0,0
794,1,0,0,0
797,0,1,0,0
800,1,0,0,0
803,2,0,0,0
807,1,0,0,0
812,1,0,0,0
816,1,0,0,0
820,1,0,0,0
821,1,0,0,0
823,0,1,0,0
826,0,1,0,0
828,1,0,0,0
829,0,0,0,1
830,1,0,0,0
836,1,1,0,0
844,1,0,0,0
846,0,1,0,0
848,1,0,0,0
857,0,1,0,0
858,1,0,0,0
863,2,0,0,0
864,2,0,0,0
871,0,1,0,0
885,1,0,0,0
894,0,1,0,0
898,1,0,0,0
906,1,0,0,0
908,0,1,0,0
909,0,1,0,0
911,1,0,0,0
918,4,0,0,0
923,1,0,0,0
928,1,0,0,0
937,0,1,0,0
942,0,1,0,0
944,1,0,0,0
946,2,0,0,0
950,0,0,0,1
951,0,1,0,0
952,0,1,0,0
955,1,0,0,0
958,1,0,0,0
959,1,0,0,0
961,1,0,0,0
965,0,0,0,1
966,0,1,0,0
967,0,1,0,0
970,0,1,0,0
971,2,0,0,0
977,0,1,0,0
983,1,0,0,0
985,1,0,0,0
996,0,1,0,0
997,1,0,0,0
999,2,0,0,0
1006,1,0,0,0
1010,0,1,0,0
1014,1,0,0,0
1017,1,0,0,0
1023,0,1,0,0
1030,1,0,0,0
1031,1,0,0,0
1032,0,1,0,0
1033,1,0,0,0
1035,0,1,0,0
1050,0,1,0,0
1054,0,1,0,0
1058,0,1,0,0
1060,0,0,0,1
1061,1,0,0,0
1073,1,0,0,0
1075,1,0,0,0
1076,0,1,0,0
1079,1,0,0,0
1083,0,1,0,0
1093,1,0,0,0
1095,1,0,0,0
1098,1,0,0,0
1102,1,0,0,0
1111,0,1,0,0
1112,1,0,0,0
1121,1,0,0,0
1124,1,0,0,0
1126,1,0,0,0
1130,0,1,0,0
1133,3,0,0,0
1138,1,0,0,0
1139,0,1,0,0
1144,0,1,0,0
1146,1,0,0,0
1150,0,1,0,0
1158,1,0,0,0
1160,0,0,0,1
1164,1,1,0,0
1167,1,0,0,0
1171,1,0,0,0
1174,0,0,0,1
1175,1,0,0,0
1176,0,0,0,1
1186,1,0,0,0
1187,0,1,0,0
1189,0,1,0,0
1199,2,0,0,0
1203,1,0,0,0
1204,2,0,0,0
1205,1,0,0,0
1207,1,0,0,0
1209,1,0,0,0
1210,1,0,0,0
1220,0,1,0,0
1228,1,0,0,0
1229,3,0,0,0
1232,1,0,0,0
1233,1,0,0,0
1235,1,0,0,0
1249,1,0,0,0
1250,0,1,0,0
1260,1,0,0,0
1265,1,0,0,0
1270,2,0,0,0
1285,1,0,0,0
1286,1,0,0,0
1294,1,0,0,0
1312,1,0,0,0
1313,0,1,0,0
1319,2,0,0,0
1323,1,0,0,0
1324,1,0,0,0
1328,1,0,0,0
1330,1,0,0,0
1332,1,0,0,0
1337,1,0,0,0
1344,2,0,0,0
1346,1,0,0,0
1350,1,0,0,0
1362,0,1,0,0
1368,1,0,0,0
1370,0,1,0,0
1374,5,0,0,0
1375,0,1,0,0
1376,1,0,0,0
1384,1,0,0,0
1387,1,0,0,0
1389,2,0,0,0
1391,1,0,0,0
1392,1,0,0,0
1395,0,1,0,0
1398,1,0,0,0
1400,1,0,0,0
1408,1,0,0,0
1411,1,0,0,0
1417,0,1,0,0
1420,2,0,0,0
1422,1,0,0,0
1424,1,0,0,0
1430,1,0,0,0
1439,1,0,0,0
1441,1,0,0,0
1446,1,0,0,0
1448,2,0,0,0
1449,1,0,0,0
1451,0,1,0,0
1452,1,0,0,0
1455,1,0,0,0
1456,1,0,0,0
1461,0,1,0,0
1468,1,0,0,0
1472,1,0,0,0
1473,0,1,0,0
1480,1,0,0,0
1481,1,0,0,0
1482,1,0,0,0
1487,1,0,0,0
1488,1,0,0,0
1494,1,0,0,0
1496,0,1,0,0
1498,1,0,0,0
1499,2,0,0,0
1500,2,0,0,0
